Year,Borough,CapRate,NYCcr
2007.05,QNcr,6.3,6.11
2007.05,MNcr,5.4,6.11
2007.05,BXcr,7,6.11
2007.05,BKcr,5.74,6.11
2007.28,QNcr,6.14,6.025
2007.28,MNcr,5.21,6.025
2007.28,BXcr,7.03,6.025
2007.28,BKcr,5.72,6.025
2007.24,QNcr,6.14,6.025
2007.24,MNcr,5.21,6.025
2007.24,BXcr,7.03,6.025
2007.24,BKcr,5.72,6.025
2007.5,QNcr,5.97,5.935
2007.5,MNcr,5.02,5.935
2007.5,BXcr,7.06,5.935
2007.5,BKcr,5.69,5.935
2007.41,QNcr,5.97,5.935
2007.41,MNcr,5.02,5.935
2007.41,BXcr,7.06,5.935
2007.41,BKcr,5.69,5.935
2007.51,QNcr,5.97,5.935
2007.51,MNcr,5.02,5.935
2007.51,BXcr,7.06,5.935
2007.51,BKcr,5.69,5.935
2007.73,QNcr,5.81,5.85
2007.73,MNcr,4.83,5.85
2007.73,BXcr,7.09,5.85
2007.73,BKcr,5.67,5.85
2007.58,QNcr,5.81,5.85
2007.58,MNcr,4.83,5.85
2007.58,BXcr,7.09,5.85
2007.58,BKcr,5.67,5.85
2007.95,QNcr,5.71,5.795
2007.95,MNcr,4.68,5.795
2007.95,BXcr,7.15,5.795
2007.95,BKcr,5.64,5.795
2007.79,QNcr,5.71,5.795
2007.79,MNcr,4.68,5.795
2007.79,BXcr,7.15,5.795
2007.79,BKcr,5.64,5.795
2007.96,QNcr,5.71,5.795
2007.96,MNcr,4.68,5.795
2007.96,BXcr,7.15,5.795
2007.96,BKcr,5.64,5.795
2008.2,QNcr,5.7,5.845
2008.2,MNcr,4.67,5.845
2008.2,BXcr,7.24,5.845
2008.2,BKcr,5.77,5.845
2008.01,QNcr,5.7,5.845
2008.01,MNcr,4.67,5.845
2008.01,BXcr,7.24,5.845
2008.01,BKcr,5.77,5.845
2008.19,QNcr,5.7,5.845
2008.19,MNcr,4.67,5.845
2008.19,BXcr,7.24,5.845
2008.19,BKcr,5.77,5.845
2008.18,QNcr,5.7,5.845
2008.18,MNcr,4.67,5.845
2008.18,BXcr,7.24,5.845
2008.18,BKcr,5.77,5.845
2008.43,QNcr,5.77,5.9525
2008.43,MNcr,4.82,5.9525
2008.43,BXcr,7.37,5.9525
2008.43,BKcr,5.85,5.9525
2008.21,QNcr,5.77,5.9525
2008.21,MNcr,4.82,5.9525
2008.21,BXcr,7.37,5.9525
2008.21,BKcr,5.85,5.9525
2008.41,QNcr,5.77,5.9525
2008.41,MNcr,4.82,5.9525
2008.41,BXcr,7.37,5.9525
2008.41,BKcr,5.85,5.9525
2008.58,QNcr,5.9,6.0925
2008.58,MNcr,5.01,6.0925
2008.58,BXcr,7.53,6.0925
2008.58,BKcr,5.93,6.0925
2008.3,QNcr,5.9,6.0925
2008.3,MNcr,5.01,6.0925
2008.3,BXcr,7.53,6.0925
2008.3,BKcr,5.93,6.0925
2008.64,QNcr,5.9,6.3675
2008.64,MNcr,5.01,6.3675
2008.64,BXcr,7.53,6.3675
2008.64,BKcr,5.93,6.3675
2008.63,QNcr,5.9,6.0925
2008.63,MNcr,5.01,6.0925
2008.63,BXcr,7.53,6.0925
2008.63,BKcr,5.93,6.0925
2008.99,QNcr,6.04,6.55375
2008.99,MNcr,5.2,6.55375
2008.99,BXcr,7.67,6.55375
2008.99,BKcr,6.05,6.55375
2008.38,QNcr,6.04,6.24
2008.38,MNcr,5.2,6.24
2008.38,BXcr,7.67,6.24
2008.38,BKcr,6.05,6.24
2008.87,QNcr,6.04,6.24
2008.87,MNcr,5.2,6.24
2008.87,BXcr,7.67,6.24
2008.87,BKcr,6.05,6.24
2008.86,QNcr,6.04,6.24
2008.86,MNcr,5.2,6.24
2008.86,BXcr,7.67,6.24
2008.86,BKcr,6.05,6.24
2009.21,QNcr,6.17,6.3774999999999995
2009.21,MNcr,5.41,6.3774999999999995
2009.21,BXcr,7.76,6.3774999999999995
2009.21,BKcr,6.17,6.3774999999999995
2008.47,QNcr,6.17,6.3774999999999995
2008.47,MNcr,5.41,6.3774999999999995
2008.47,BXcr,7.76,6.3774999999999995
2008.47,BKcr,6.17,6.3774999999999995
2009.09,QNcr,6.17,6.3774999999999995
2009.09,MNcr,5.41,6.3774999999999995
2009.09,BXcr,7.76,6.3774999999999995
2009.09,BKcr,6.17,6.3774999999999995
2009.38,QNcr,6.3,6.495
2009.38,MNcr,5.63,6.495
2009.38,BXcr,7.78,6.495
2009.38,BKcr,6.27,6.495
2008.55,QNcr,6.3,6.495
2008.55,MNcr,5.63,6.495
2008.55,BXcr,7.78,6.495
2008.55,BKcr,6.27,6.495
2009.32,QNcr,6.3,6.495
2009.32,MNcr,5.63,6.495
2009.32,BXcr,7.78,6.495
2009.32,BKcr,6.27,6.495
2009.31,QNcr,6.3,6.495
2009.31,MNcr,5.63,6.495
2009.31,BXcr,7.78,6.495
2009.31,BKcr,6.27,6.495
2009.6,QNcr,6.44,6.6425
2009.6,MNcr,5.82,6.6425
2009.6,BXcr,7.75,6.6425
