Year,UnitType,MeanRent
1991.096,MR,1896
1991.096,RS,660
1991.058,MR,1896
1991.058,RS,660
1991.417,MR,1896
1991.417,RS,666
1991.379,MR,1896
1991.379,RS,666
1991.739,MR,1896
1991.739,RS,666
1991.701,MR,1896
1991.701,RS,666
1992.061,MR,1914
1992.061,RS,672
1992.023,MR,1914
1992.023,RS,672
1992.383,MR,1986
1992.383,RS,678
1992.344,MR,1986
1992.344,RS,678
1992.705,MR,2058
1992.705,RS,690
1992.666,MR,2058
1992.666,RS,690
1993.027,MR,2136
1993.027,RS,696
1992.988,MR,2136
1992.988,RS,696
1993.35,MR,2226
1993.35,RS,708
1993.31,MR,2226
1993.31,RS,708
1993.672,MR,2322
1993.672,RS,720
1993.631,MR,2322
1993.631,RS,720
1993.994,MR,2406
1993.994,RS,732
1993.953,MR,2406
1993.953,RS,732
1994.316,MR,2466
1994.316,RS,738
1994.275,MR,2466
1994.275,RS,738
1994.638,MR,2520
1994.638,RS,750
1994.597,MR,2520
1994.597,RS,750
1994.961,MR,2574
1994.961,RS,762
1994.918,MR,2574
1994.918,RS,762
1995.283,MR,2634
1995.283,RS,774
1995.24,MR,2634
1995.24,RS,774
1995.605,MR,2700
1995.605,RS,786
1995.562,MR,2700
1995.562,RS,786
1995.927,MR,2772
1995.927,RS,798
1995.883,MR,2772
1995.883,RS,798
1996.249,MR,2820
1996.249,RS,816.0000000000001
1996.205,MR,2820
1996.205,RS,816.0000000000001
1996.571,MR,2868
1996.571,RS,840.0000000000001
1996.527,MR,2868
1996.527,RS,840.0000000000001
1996.893,MR,2916
1996.893,RS,869.9999999999999
1996.849,MR,2916
1996.849,RS,869.9999999999999
1997.215,MR,2940
1997.215,RS,888
1997.171,MR,2940
1997.171,RS,888
1997.537,MR,2958
1997.537,RS,900
1997.493,MR,2958
1997.493,RS,900
1997.858,MR,2976
1997.858,RS,918
1997.814,MR,2976
1997.814,RS,918
1998.18,MR,3036
1998.18,RS,930
1998.136,MR,3036
1998.136,RS,930
1998.503,MR,3126
1998.503,RS,942
1998.458,MR,3126
1998.458,RS,942
1998.825,MR,3216
1998.825,RS,954
1998.78,MR,3216
1998.78,RS,954
1999.147,MR,3282.0000000000005
1999.147,RS,966
1999.101,MR,3282.0000000000005
1999.101,RS,966
1999.469,MR,3312.0000000000005
1999.469,RS,978
1999.423,MR,3312.0000000000005
1999.423,RS,978
1999.791,MR,3348.0000000000005
1999.791,RS,990
1999.745,MR,3348.0000000000005
1999.745,RS,990
2000.113,MR,3377.9999999999995
2000.113,RS,1002.0000000000001
2000.066,MR,3377.9999999999995
2000.066,RS,1002.0000000000001
2000.435,MR,3407.9999999999995
2000.435,RS,1020.0000000000001
2000.388,MR,3407.9999999999995
2000.388,RS,1020.0000000000001
2000.757,MR,3437.9999999999995
2000.757,RS,1038
2000.71,MR,3437.9999999999995
2000.71,RS,1038
2001.078,MR,3425.9999999999995
2001.078,RS,1056
2001.032,MR,3425.9999999999995
2001.032,RS,1056
2001.399,MR,3318.0000000000005
2001.399,RS,1074
2001.354,MR,3318.0000000000005
2001.354,RS,1074
2001.72,MR,3210
2001.72,RS,1098
2001.675,MR,3210
2001.675,RS,1098
2002.041,MR,3120
2002.041,RS,1110
2001.997,MR,3120
2001.997,RS,1110
2002.362,MR,3090
2002.362,RS,1104
2002.319,MR,3090
2002.319,RS,1104
2002.684,MR,3072
2002.684,RS,1098
2002.64,MR,3072
2002.64,RS,1098
2003.005,MR,3054
2003.005,RS,1098
2002.962,MR,3054
2002.962,RS,1098
2003.327,MR,3066
2003.327,RS,1116
2003.284,MR,3066
2003.284,RS,1116
2003.649,MR,3078
2003.649,RS,1128
2003.606,MR,3078
2003.606,RS,1128
2003.971,MR,3096
2003.971,RS,1140
2003.927,MR,3096
2003.927,RS,1140
2004.292,MR,3126
2004.292,RS,1146
2004.249,MR,3126
2004.249,RS,1146
2004.614,MR,3162
2004.614,RS,1152
2004.571,MR,3162
2004.571,RS,1152
2004.936,MR,3204
2004.936,RS,1158
2004.892,MR,3204
2004.892,RS,1158
2005.259,MR,3306.0000000000005
2005.259,RS,1176
2005.214,MR,3306.0000000000005
2005.214,RS,1176
2005.581,MR,3425.9999999999995
2005.581,RS,1200
2005.536,MR,3425.9999999999995
2005.536,RS,1200
2005.904,MR,3546
2005.904,RS,1224
2005.858,MR,3546
2005.858,RS,1224
2006.226,MR,3636
