Year,Borough,BoroPUP,as.factor(Year),CityPUP
2008.15,BXsv,82735.68,2008.15,109265.19
2008.15,BKsv,103605.73,2008.15,109265.19
2008.15,MNsv,126952.86,2008.15,109265.19
2008.15,QNsv,123766.49,2008.15,109265.19
2008.14,BXsv,82735.68,2008.14,109265.19
2008.14,BKsv,103605.73,2008.14,109265.19
2008.14,MNsv,126952.86,2008.14,109265.19
2008.14,QNsv,123766.49,2008.14,109265.19
2008.16,BXsv,82735.68,2008.16,109265.19
2008.16,BKsv,103605.73,2008.16,109265.19
2008.16,MNsv,126952.86,2008.16,109265.19
2008.16,QNsv,123766.49,2008.16,109265.19
2008.17,BXsv,82735.68,2008.17,109265.19
2008.17,BKsv,103605.73,2008.17,109265.19
2008.17,MNsv,126952.86,2008.17,109265.19
2008.17,QNsv,123766.49,2008.17,109265.19
2008.41,BXsv,76698.64,2008.41,103353.5575
2008.41,BKsv,100672.15,2008.41,103353.5575
2008.41,MNsv,117345.94,2008.41,103353.5575
2008.41,QNsv,118697.5,2008.41,103353.5575
2008.37,BXsv,76698.64,2008.37,103353.5575
2008.37,BKsv,100672.15,2008.37,103353.5575
2008.37,MNsv,117345.94,2008.37,103353.5575
2008.37,QNsv,118697.5,2008.37,103353.5575
2008.42,BXsv,76698.64,2008.42,103353.5575
2008.42,BKsv,100672.15,2008.42,103353.5575
2008.42,MNsv,117345.94,2008.42,103353.5575
2008.42,QNsv,118697.5,2008.42,103353.5575
2008.66,BXsv,70405.35,2008.66,97986.4525
2008.66,BKsv,97567.74,2008.66,97986.4525
2008.66,MNsv,110600.46,2008.66,97986.4525
2008.66,QNsv,113372.26,2008.66,97986.4525
2008.59,BXsv,70405.35,2008.59,97986.4525
2008.59,BKsv,97567.74,2008.59,97986.4525
2008.59,MNsv,110600.46,2008.59,97986.4525
2008.59,QNsv,113372.26,2008.59,97986.4525
2008.67,BXsv,70405.35,2008.67,97986.4525
2008.67,BKsv,97567.74,2008.67,97986.4525
2008.67,MNsv,110600.46,2008.67,97986.4525
2008.67,QNsv,113372.26,2008.67,97986.4525
2008.68,BXsv,70405.35,2008.68,97986.4525
