Year,Borough,BoroSalesVolume,as.factor(Year),CitySalesVolume
2007.99,BKsv,12.23,2007.99,34.019999999999996
2007.99,MNsv,5.81,2007.99,34.019999999999996
2007.99,BXsv,7.29,2007.99,34.019999999999996
2007.99,QNsv,8.69,2007.99,34.019999999999996
2008.02,BKsv,12.23,2008.02,34.019999999999996
2008.02,MNsv,5.81,2008.02,34.019999999999996
2008.02,BXsv,7.29,2008.02,34.019999999999996
2008.02,QNsv,8.69,2008.02,34.019999999999996
2008.1,BKsv,11.37,2008.1,31.08
2008.1,MNsv,5.19,2008.1,31.08
2008.1,BXsv,6.57,2008.1,31.08
2008.1,QNsv,7.95,2008.1,31.08
2008.21,BKsv,11.37,2008.21,31.08
2008.21,MNsv,5.19,2008.21,31.08
2008.21,BXsv,6.57,2008.21,31.08
2008.21,QNsv,7.95,2008.21,31.08
2008.18,BKsv,11.37,2008.18,31.08
2008.18,MNsv,5.19,2008.18,31.08
2008.18,BXsv,6.57,2008.18,31.08
2008.18,QNsv,7.95,2008.18,31.08
2008.11,BKsv,11.37,2008.11,31.08
2008.11,MNsv,5.19,2008.11,31.08
2008.11,BXsv,6.57,2008.11,31.08
2008.11,QNsv,7.95,2008.11,31.08
2008.19,BKsv,10.6,2008.19,28.17
2008.19,MNsv,4.51,2008.19,28.17
2008.19,BXsv,5.85,2008.19,28.17
2008.19,QNsv,7.21,2008.19,28.17
2008.4,BKsv,10.6,2008.4,50.78
2008.4,MNsv,4.51,2008.4,50.78
2008.4,BXsv,5.85,2008.4,50.78
2008.4,QNsv,7.21,2008.4,50.78
2008.3,BKsv,10.6,2008.3,53.33000000000001
2008.3,MNsv,4.51,2008.3,53.33000000000001
2008.3,BXsv,5.85,2008.3,53.33000000000001
2008.3,QNsv,7.21,2008.3,53.33000000000001
2008.29,BKsv,9.84,2008.29,25.16
2008.29,MNsv,3.84,2008.29,25.16
2008.29,BXsv,5.17,2008.29,25.16
2008.29,QNsv,6.31,2008.29,25.16
2008.57,BKsv,9.84,2008.57,25.16
2008.57,MNsv,3.84,2008.57,25.16
2008.57,BXsv,5.17,2008.57,25.16
2008.57,QNsv,6.31,2008.57,25.16
2008.45,BKsv,9.84,2008.45,25.16
2008.45,MNsv,3.84,2008.45,25.16
2008.45,BXsv,5.17,2008.45,25.16
2008.45,QNsv,6.31,2008.45,25.16
2008.3,BKsv,9.84,2008.3,53.33000000000001
2008.3,MNsv,3.84,2008.3,53.33000000000001
2008.3,BXsv,5.17,2008.3,53.33000000000001
2008.3,QNsv,6.31,2008.3,53.33000000000001
2008.37,BKsv,9.1,2008.37,22.609999999999996
2008.37,MNsv,3.37,2008.37,22.609999999999996
2008.37,BXsv,4.58,2008.37,22.609999999999996
2008.37,QNsv,5.56,2008.37,22.609999999999996
2008.79,BKsv,9.1,2008.79,22.609999999999996
2008.79,MNsv,3.37,2008.79,22.609999999999996
2008.79,BXsv,4.58,2008.79,22.609999999999996
2008.79,QNsv,5.56,2008.79,22.609999999999996
2008.63,BKsv,9.1,2008.63,22.609999999999996
2008.63,MNsv,3.37,2008.63,22.609999999999996
2008.63,BXsv,4.58,2008.63,22.609999999999996
2008.63,QNsv,5.56,2008.63,22.609999999999996
2008.4,BKsv,9.1,2008.4,50.78
2008.4,MNsv,3.37,2008.4,50.78
2008.4,BXsv,4.58,2008.4,50.78
2008.4,QNsv,5.56,2008.4,50.78
2008.47,BKsv,8.35,2008.47,20.06
2008.47,MNsv,3.1,2008.47,20.06
2008.47,BXsv,3.85,2008.47,20.06
2008.47,QNsv,4.76,2008.47,20.06
2008.97,BKsv,8.35,2008.97,20.06
2008.97,MNsv,3.1,2008.97,20.06
2008.97,BXsv,3.85,2008.97,20.06
2008.97,QNsv,4.76,2008.97,20.06
2008.8,BKsv,8.35,2008.8,20.06
2008.8,MNsv,3.1,2008.8,20.06
2008.8,BXsv,3.85,2008.8,20.06
2008.8,QNsv,4.76,2008.8,20.06
2008.53,BKsv,8.35,2008.53,20.06
2008.53,MNsv,3.1,2008.53,20.06
2008.53,BXsv,3.85,2008.53,20.06
2008.53,QNsv,4.76,2008.53,20.06
2008.56,BKsv,7.61,2008.56,18.240000000000002
2008.56,MNsv,3.22,2008.56,18.240000000000002
2008.56,BXsv,3.48,2008.56,18.240000000000002
2008.56,QNsv,3.93,2008.56,18.240000000000002
2009.17,BKsv,7.61,2009.17,18.240000000000002
2009.17,MNsv,3.22,2009.17,18.240000000000002
2009.17,BXsv,3.48,2009.17,18.240000000000002
2009.17,QNsv,3.93,2009.17,18.240000000000002
2009,BKsv,7.61,2009,18.240000000000002
2009,MNsv,3.22,2009,18.240000000000002
2009,BXsv,3.48,2009,18.240000000000002
2009,QNsv,3.93,2009,18.240000000000002
2008.64,BKsv,7.61,2008.64,18.240000000000002
2008.64,MNsv,3.22,2008.64,18.240000000000002
2008.64,BXsv,3.48,2008.64,18.240000000000002
2008.64,QNsv,3.93,2008.64,18.240000000000002
2008.7,BKsv,6.84,2008.7,17.43
2008.7,MNsv,3.77,2008.7,17.43
2008.7,BXsv,3.67,2008.7,17.43
2008.7,QNsv,3.15,2008.7,17.43
2009.37,BKsv,6.84,2009.37,17.43
2009.37,MNsv,3.77,2009.37,17.43
2009.37,BXsv,3.67,2009.37,17.43
2009.37,QNsv,3.15,2009.37,17.43
2009.21,BKsv,6.84,2009.21,17.43
2009.21,MNsv,3.77,2009.21,17.43
2009.21,BXsv,3.67,2009.21,17.43
2009.21,QNsv,3.15,2009.21,17.43
2008.78,BKsv,6.84,2008.78,17.43
2008.78,MNsv,3.77,2008.78,17.43
2008.78,BXsv,3.67,2008.78,17.43
2008.78,QNsv,3.15,2008.78,17.43
2008.82,BKsv,6.1,2008.82,17.31
2008.82,MNsv,4.51,2008.82,17.31
2008.82,BXsv,4.32,2008.82,17.31
2008.82,QNsv,2.38,2008.82,17.31
2009.57,BKsv,6.1,2009.57,17.31
2009.57,MNsv,4.51,2009.57,17.31
2009.57,BXsv,4.32,2009.57,17.31
2009.57,QNsv,2.38,2009.57,17.31
2009.4,BKsv,6.1,2009.4,17.31
2009.4,MNsv,4.51,2009.4,17.31
2009.4,BXsv,4.32,2009.4,17.31
2009.4,QNsv,2.38,2009.4,17.31
2008.94,BKsv,6.1,2008.94,17.31
2008.94,MNsv,4.51,2008.94,17.31
2008.94,BXsv,4.32,2008.94,17.31
2008.94,QNsv,2.38,2008.94,17.31
2008.98,BKsv,5.37,2008.98,17.6
2008.98,MNsv,5.28,2008.98,17.6
2008.98,BXsv,5.09,2008.98,17.6
2008.98,QNsv,1.86,2008.98,17.6
2009.76,BKsv,5.37,2009.76,17.6
2009.76,MNsv,5.28,2009.76,17.6
2009.76,BXsv,5.09,2009.76,17.6
2009.76,QNsv,1.86,2009.76,17.6
2009.59,BKsv,5.37,2009.59,17.6
2009.59,MNsv,5.28,2009.59,17.6
2009.59,BXsv,5.09,2009.59,17.6
2009.59,QNsv,1.86,2009.59,17.6
2009.13,BKsv,5.37,2009.13,17.6
2009.13,MNsv,5.28,2009.13,17.6
2009.13,BXsv,5.09,2009.13,17.6
2009.13,QNsv,1.86,2009.13,17.6
2009.19,BKsv,4.98,2009.19,18.53
2009.19,MNsv,5.95,2009.19,18.53
2009.19,BXsv,5.8,2009.19,18.53
2009.19,QNsv,1.8,2009.19,18.53
2009.95,BKsv,4.98,2009.95,41.010000000000005
2009.95,MNsv,5.95,2009.95,41.010000000000005
2009.95,BXsv,5.8,2009.95,41.010000000000005
2009.95,QNsv,1.8,2009.95,41.010000000000005
2009.77,BKsv,4.98,2009.77,18.53
2009.77,MNsv,5.95,2009.77,18.53
2009.77,BXsv,5.8,2009.77,18.53
2009.77,QNsv,1.8,2009.77,18.53
2009.34,BKsv,4.98,2009.34,18.53
2009.34,MNsv,5.95,2009.34,18.53
2009.34,BXsv,5.8,2009.34,18.53
2009.34,QNsv,1.8,2009.34,18.53
2009.39,BKsv,5.12,2009.39,20.099999999999998
2009.39,MNsv,6.37,2009.39,20.099999999999998
2009.39,BXsv,6.52,2009.39,20.099999999999998
2009.39,QNsv,2.09,2009.39,20.099999999999998
2010.16,BKsv,5.12,2010.16,42.98999999999999
2010.16,MNsv,6.37,2010.16,42.98999999999999
2010.16,BXsv,6.52,2010.16,42.98999999999999
2010.16,QNsv,2.09,2010.16,42.98999999999999
2009.97,BKsv,5.12,2009.97,20.099999999999998
2009.97,MNsv,6.37,2009.97,20.099999999999998
2009.97,BXsv,6.52,2009.97,20.099999999999998
2009.97,QNsv,2.09,2009.97,20.099999999999998
2009.54,BKsv,5.12,2009.54,20.099999999999998
2009.54,MNsv,6.37,2009.54,20.099999999999998
2009.54,BXsv,6.52,2009.54,20.099999999999998
2009.54,QNsv,2.09,2009.54,20.099999999999998
2009.6,BKsv,5.6,2009.6,21.569999999999997
2009.6,MNsv,6.39,2009.6,21.569999999999997
2009.6,BXsv,7.04,2009.6,21.569999999999997
2009.6,QNsv,2.54,2009.6,21.569999999999997
2010.36,BKsv,5.6,2010.36,44.82
2010.36,MNsv,6.39,2010.36,44.82
2010.36,BXsv,7.04,2010.36,44.82
2010.36,QNsv,2.54,2010.36,44.82
2010.18,BKsv,5.6,2010.18,21.569999999999997
2010.18,MNsv,6.39,2010.18,21.569999999999997
2010.18,BXsv,7.04,2010.18,21.569999999999997
2010.18,QNsv,2.54,2010.18,21.569999999999997
2009.75,BKsv,5.6,2009.75,21.569999999999997
2009.75,MNsv,6.39,2009.75,21.569999999999997
2009.75,BXsv,7.04,2009.75,21.569999999999997
2009.75,QNsv,2.54,2009.75,21.569999999999997
2009.8,BKsv,6.25,2009.8,22.48
2009.8,MNsv,6.17,2009.8,22.48
2009.8,BXsv,7.06,2009.8,22.48
2009.8,QNsv,3,2009.8,22.48
2010.57,BKsv,6.25,2010.57,46.58
2010.57,MNsv,6.17,2010.57,46.58
2010.57,BXsv,7.06,2010.57,46.58
2010.57,QNsv,3,2010.57,46.58
2010.38,BKsv,6.25,2010.38,22.48
2010.38,MNsv,6.17,2010.38,22.48
2010.38,BXsv,7.06,2010.38,22.48
2010.38,QNsv,3,2010.38,22.48
2009.95,BKsv,6.25,2009.95,41.010000000000005
2009.95,MNsv,6.17,2009.95,41.010000000000005
2009.95,BXsv,7.06,2009.95,41.010000000000005
2009.95,QNsv,3,2009.95,41.010000000000005
2010.01,BKsv,6.92,2010.01,22.89
2010.01,MNsv,5.91,2010.01,22.89
2010.01,BXsv,6.76,2010.01,22.89
2010.01,QNsv,3.3,2010.01,22.89
2010.77,BKsv,6.92,2010.77,48.660000000000004
2010.77,MNsv,5.91,2010.77,48.660000000000004
2010.77,BXsv,6.76,2010.77,48.660000000000004
2010.77,QNsv,3.3,2010.77,48.660000000000004
2010.58,BKsv,6.92,2010.58,22.89
2010.58,MNsv,5.91,2010.58,22.89
2010.58,BXsv,6.76,2010.58,22.89
2010.58,QNsv,3.3,2010.58,22.89
2010.16,BKsv,6.92,2010.16,42.98999999999999
2010.16,MNsv,5.91,2010.16,42.98999999999999
2010.16,BXsv,6.76,2010.16,42.98999999999999
